match_id,puuid,region_id,queue_id
EUW1_7395150653,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7395105171,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7387439272,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7387421689,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7385265097,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7385233465,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7380703927,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7380661871,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7357551908,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7330806126,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7328682812,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7325397089,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7324811803,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7324783187,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7322341869,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7322303263,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7300517364,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7297729666,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7297686938,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7296677269,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7296642805,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7296600434,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7290109825,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7290060865,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7289584092,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7288895937,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7288860192,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7287658602,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7287605945,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7287418142,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7286959109,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7286154002,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7286012052,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7285950191,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7285883475,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7285207470,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7285186918,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7284981901,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7284879682,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7284808110,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7284746524,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7284380375,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7284331067,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7284305108,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7283915383,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7283887675,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7283846704,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7283786564,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7283411584,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
EUW1_7448324240,MJBbszjSZ07hpeYvvkMrAz6NEM0vN4TVI7-ZLFEBOSgNzJ6LNL5Tb0k1V3NyVNfKeGag7WBiGLsGwA,3,420
EUW1_7446906591,MJBbszjSZ07hpeYvvkMrAz6NEM0vN4TVI7-ZLFEBOSgNzJ6LNL5Tb0k1V3NyVNfKeGag7WBiGLsGwA,3,420
EUW1_7446864778,MJBbszjSZ07hpeYvvkMrAz6NEM0vN4TVI7-ZLFEBOSgNzJ6LNL5Tb0k1V3NyVNfKeGag7WBiGLsGwA,3,420
EUW1_7446697440,MJBbszjSZ07hpeYvvkMrAz6NEM0vN4TVI7-ZLFEBOSgNzJ6LNL5Tb0k1V3NyVNfKeGag7WBiGLsGwA,3,420
